ID	Family	Genus	Species	Part	
Piper multiplinervium|WP	piperaceae	Piper	Piper multiplinervium	WP	
Piptocarpha poeppigiana|WP	asteraceae	Piptocarpha	Piptocarpha poeppigiana	WP	
Piper caudatifolium|WP	piperaceae	Piper	Piper caudatifolium	WP	
Anthurium clavigerum|WP	araceae	Anthurium	Anthurium clavigerum	WP	
Hedyosmum bonplandianum|L	chloranthaceae	Hedyosmum	Hedyosmum bonplandianum	L	
Cavendishia callista|WP	ericaceae	Cavendishia	Cavendishia callista	WP	
Hippotis albiflora|L	rubiaceae	Hippotis	Hippotis albiflora	L	
Colubrina spinosa|WP	rhamnaceae	Colubrina	Colubrina spinosa	WP	
Besleria columneoides|WP	gesneriaceae	Besleria	Besleria columneoides	WP	
Spathiphyllum laeve|WP	araceae	Spathiphyllum	Spathiphyllum laeve	WP	
Stenospermation angustifolium|WP	araceae	Stenospermation	Stenospermation angustifolium	WP	
Faramea parvibractea|L	rubiaceae	Faramea	Faramea parvibractea	L	
Columnea nicaraguensis|WP	gesneriaceae	Columnea	Columnea nicaraguensis	WP	
Phytolacca rivinoides|WP	phytolaccaceae	Phytolacca	Phytolacca rivinoides	WP	
Siparuna grandiflora|WP	monimiaceae	Siparuna	Siparuna grandiflora	WP	
Dicranopygium umbrophilum|WP	cyclanthaceae	Dicranopygium	Dicranopygium umbrophilum	WP	
Saccharum officinarum|WP	poaceae	Saccharum	Saccharum officinarum	WP	
Erythroxylum fimbriatum|WP	erythroxylaceae	Erythroxylum	Erythroxylum fimbriatum	WP	
Lycianthes multinervium|WP	solanaceae	Lycianthes	Lycianthes multinervium	WP	
Syngonium peliocladum|WP	araceae	Syngonium	Syngonium peliocladum	WP	
Philodendron aurantiifolium|WP	araceae	Philodendron	Philodendron aurantiifolium	WP	
Miconia ligulata|AE	melastomataceae	Miconia	Miconia ligulata	AE	
Piper garagaranum|WP	piperaceae	Piper	Piper garagaranum	WP	
Loreya mespiloides|AE	melastomataceae	Loreya	Loreya mespiloides	AE	
Ichnanthus pallens|WP	poaceae	Ichnanthus	Ichnanthus pallens	WP	
Peperomia hernandiifolia|WP	piperaceae	Peperomia	Peperomia hernandiifolia	WP	
Sacoglottis trichogyna|L	humiriaceae	Sacoglottis	Sacoglottis trichogyna	L	
Anthurium spectabile|WP	araceae	Anthurium	Anthurium spectabile	WP	
Renealmia pluriplicata|WP	zingiberaceae	Renealmia	Renealmia pluriplicata	WP	
Cestrum microcalix|AE	solanaceae	Cestrum	Cestrum microcalix	AE	
Billia rosea|L	hippocastanaceae	Billia	Billia rosea	L	
Calatola costaricensis|AE	icacinaceae	Calatola	Calatola costaricensis	AE	
Gonzalagunia bracteosa|AE	rubiaceae	Gonzalagunia	Gonzalagunia bracteosa	AE	
Conostegia setosa|WP	melastomataceae	Conostegia	Conostegia setosa	WP	
Panicum maximum|WP	poaceae	Panicum	Panicum maximum	WP	
Ichnanthus nemorosus|WP	poaceae	Ichnanthus	Ichnanthus nemorosus	WP	
Danaea nodosa|L	marattiaceae	Danaea	Danaea nodosa	L	
Drymonia pilifera|WP	gesneriaceae	Drymonia	Drymonia pilifera	WP	
Herrania purpurea|AE	sterculiaceae	Herrania	Herrania purpurea	AE	
Bravaisia integerrima|L	acanthaceae	Bravaisia	Bravaisia integerrima	L	
Hura crepitans|L	euphorbiaceae	Hura	Hura crepitans	L	
Batocarpus costaricensis|L	moraceae	Batocarpus	Batocarpus costaricensis	L	
Licaria cufodontisii|L	lauraceae	Licaria	Licaria cufodontisii	L	
Heisteria concinna|L	olacaceae	Heisteria	Heisteria concinna	L	
Erythrochiton gymnanthus|L	rutaceae	Erythrochiton	Erythrochiton gymnanthus	L	
Faramea occidentalis|AE	rubiaceae	Faramea	Faramea occidentalis	AE	
Chomelia microloba|L	rubiaceae	Chomelia	Chomelia microloba	L	
Sorocea pubivena|L	moraceae	Sorocea	Sorocea pubivena	L	
Tabebuia chrysantha|AE	bignoniaceae	Tabebuia	Tabebuia chrysantha	AE	
Piper reticulatum|AE	piperaceae	Piper	Piper reticulatum	AE	
Brosimum alicastrum|AE	moraceae	Brosimum	Brosimum alicastrum	AE	
Guapira costaricana|AE	nyctaginaceae	Guapira	Guapira costaricana	AE	
Geophila repens|WP	rubiaceae	Geophila	Geophila repens	WP	
Olmedia aspera|L	moraceae	Olmedia	Olmedia aspera	L	
Carica pennata|L	caricaceae	Carica	Carica pennata	L	
Cecropia peltata|L	cecropiaceae	Cecropia	Cecropia peltata	L	
Dracontium soconuscum|WP	araceae	Dracontium	Dracontium soconuscum	WP	
Talisia allenii|L	sapindaceae	Talisia	Talisia allenii	L	
Trophis racemosa|L	moraceae	Trophis	Trophis racemosa	L	
Rauvolfia littoralis|L	apocynaceae	Rauvolfia	Rauvolfia littoralis	L	
Samanea saman|AE	fabaceae/mim.	Samanea	Samanea saman	AE	
Cojoba arborea|L	fabaceae/mim.	Cojoba	Cojoba arborea	L	
Clidemia ciliata|WP	melastomataceae	Clidemia	Clidemia ciliata	WP	
Hamelia xerocarpa|L	rubiaceae	Hamelia	Hamelia xerocarpa	L	
Dieffenbachia oerstedii|WP	araceae	Dieffenbachia	Dieffenbachia oerstedii	WP	
Posoqueria latifolia|L	rubiaceae	Posoqueria	Posoqueria latifolia	L	
Hirtella racemosa|AE	chrysobalanaceae	Hirtella	Hirtella racemosa	AE	
Sapranthus viridiflorus|AE	annonaceae	Sapranthus	Sapranthus viridiflorus	AE	
Acacia hayesii|L	fabaceae/mim.	Acacia	Acacia hayesii	L	
Ficus yoponensis|L	moraceae	Ficus	Ficus yoponensis	L	
Calathea gymnocarpa|WP	marantaceae	Calathea	Calathea gymnocarpa	WP	
Chrysophyllum argenteum|L	sapotaceae	Chrysophyllum	Chrysophyllum argenteum	L	
Celtis iguanaea|WP	ulmaceae	Celtis	Celtis iguanaea	WP	
Sapium laurifolium|L	euphorbiaceae	Sapium	Sapium laurifolium	L	
Alseis costaricensis|L	rubiaceae	Alseis	Alseis costaricensis	L	
Bixa urucurana|L	bixaceae	Bixa	Bixa urucurana	L	
Psiguria warscewiczii|WP	cucurbitaceae	Psiguria	Psiguria warscewiczii	WP	
Pentagonia tinajita|L	rubiaceae	Pentagonia	Pentagonia tinajita	L	
Dichorisandra amabilis|WP	commelinaceae	Dichorisandra	Dichorisandra amabilis	WP	
Apeiba tibourbou|AE	tiliaceae	Apeiba	Apeiba tibourbou	AE	
Lantana camara|WP	verbenaceae	Lantana	Lantana camara	WP	
Scleria melaleuca|WP	cyperaceae	Scleria	Scleria melaleuca	WP	
Alchornea costaricensis|AE	euphorbiaceae	Alchornea	Alchornea costaricensis	AE	
Oreopanax capitatus|L	araliaceae	Oreopanax	Oreopanax capitatus	L	
Phyllanthus acuminatus|L	euphorbiaceae	Phyllanthus	Phyllanthus acuminatus	L	
Syzygium malaccense|L	myrtaceae	Syzygium	Syzygium malaccense	L	
Urera simplex|AE	urticaceae	Urera	Urera simplex	AE	
Miconia trinervia|L	melastomataceae	Miconia	Miconia trinervia	L	
Hampea platanifolia|AE	malvaceae	Hampea	Hampea platanifolia	AE	
Brosimum costaricanum|AE	moraceae	Brosimum	Brosimum costaricanum	AE	
Cinnamomum cinnamomifolium|AE	lauraceae	Cinnamomum	Cinnamomum cinnamomifolium	AE	
