ID	Family	Genus	Species	Part	matched_name	taxon.synonyms	NCBITaxonomy	ott_id	query_otol_kingdom	query_otol_phylum	query_otol_class	query_otol_order	query_otol_family	query_otol_genus	query_otol_species
Acacia hayesii|L	fabaceae/mim.	Acacia	acacia hayesii	L	Acacia hayesii	"['Acacia acanthophylla', 'Acacia telensis', 'Senegalia acanthophylla', 'Senegalia hayesii']"	1504162|Acacia hayesii	5785742	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Acacia	Acacia hayesii
Acalypha arvensis|WP	euphorbiaceae	Acalypha	acalypha arvensis	WP	Acalypha arvensis	"['Acalypha arvensis', 'Acalypha arvensis belangeri', 'Acalypha arvensis genuina', 'Acalypha arvensis pavoniana', 'Acalypha capitellata', 'Acalypha hystrix', 'Acalypha pavoniana', 'Ricinocarpus aristatus', 'Ricinocarpus arvensis']"		3910407	Archaeplastida	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Acalypha	Acalypha aristata
Acrocomia aculeata|L	arecaceae	Acrocomia	acrocomia aculeata	L	Acrocomia aculeata	"['Acrocomia antiguana', 'Acrocomia antioquiensis', 'Acrocomia belizensis', 'Acrocomia christopherensis', 'Acrocomia chunta', 'Acrocomia cubensis', 'Acrocomia erioacantha', 'Acrocomia fusiformis', 'Acrocomia glaucophylla', 'Acrocomia globosa', 'Acrocomia grenadana', 'Acrocomia guianensis', 'Acrocomia horrida', 'Acrocomia hospes', 'Acrocomia ierensis', 'Acrocomia karukerana', 'Acrocomia lasiospatha', 'Acrocomia media', 'Acrocomia mexicana', 'Acrocomia microcarpa', 'Acrocomia minor', 'Acrocomia mokayayba', 'Acrocomia odorata', 'Acrocomia panamensis', 'Acrocomia pilosa', 'Acrocomia quisqueyana', 'Acrocomia sclerocarpa', 'Acrocomia sclerocarpa wallaceana', 'Acrocomia sphaerocarpa', 'Acrocomia spinosa', 'Acrocomia subinermis', 'Acrocomia tenuifrons', 'Acrocomia ulei', 'Acrocomia viegasii', 'Acrocomia vinifera', 'Acrocomia wallaceana', 'Acrocomia zapotecis', 'Acromia media', 'Astrocaryum sclerocarpum', 'Bactris globosa', 'Bactris minor', 'Bactris pavoniana', 'Cocos aculeata', 'Cocos fusiformis', 'Palma mocaia', 'Palma spinosa']"	169987|Acrocomia aculeata	817259	Archaeplastida	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Acrocomia	Acrocomia aculeata
Acrostichum aureum|L	pteridaceae	Acrostichum	acrostichum aureum	L	Acrostichum aureum	"['Acrostichum aureum hirsutum', 'Acrostichum aureum marginatum', 'Acrostichum aureum urvillei', 'Acrostichum cayennense', 'Acrostichum crassifolium', 'Acrostichum emarginatum', 'Acrostichum fasciculatum', 'Acrostichum formosum', 'Acrostichum guineense', 'Acrostichum inaequale', 'Acrostichum juglandifolium', 'Acrostichum marginatum', 'Acrostichum obliquum', 'Acrostichum rigens', 'Acrostichum scalpturatum', 'Acrostichum spectabile', 'Acrostichum urvillei', 'Acrostichum wightianum', 'Aspidium emarginatum', 'Asplenium arifolium', 'Chrysodium aureum', 'Chrysodium cayennense', 'Chrysodium fasciculatum', 'Chrysodium hirsutum', 'Chrysodium inaequale', 'Chrysodium scalpturatum', 'Chrysodium speciosum', 'Chrysodium urvillei', 'Chrysodium vulgare', 'Gymnogramma arifolia', 'Hemionitis arifolia', 'Parahemionitis arifolia', 'Polystichum dissimulans', 'Polystichum emarginatum']"	29594|Acrostichum aureum	190945	Archaeplastida	Streptophyta	Polypodiopsida	Polypodiales	Pteridaceae	Acrostichum	Acrostichum aureum
Adelia triloba|AE	euphorbiaceae	Adelia	adelia triloba	AE	Adelia triloba	['Ricinella triloba']	353064|Adelia triloba	856043	Archaeplastida	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Adelia	Adelia triloba
Aeschynomene americana|WP	fabaceae/pap.	Aeschynomene	aeschynomene americana	WP	Aeschynomene americana	"['Aeschynomene americana depila', 'Aeschynomene glandulosa', 'Aeschynomene guayaquilensis', 'Aeschynomene javanica luxurians', 'Aeschynomene mexicana', 'Aeschynomene mimosula', 'Aeschynomene mimulosa', 'Aeschynomene tricholoma', 'Hippocrepis mimosula', 'Hippocrepis mimulosa']"	134032|Aeschynomene americana	562868	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene americana
Ageratina ixiocladon|WP	asteraceae	Ageratina	ageratina ixiocladon	WP	Ageratina ixiocladon	['Eupatorium ixiocladon']		7602582	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Ageratina	Ageratina ixiocladon
Ageratina ligustrina|AE	asteraceae	Ageratina	ageratina ligustrina	AE	Ageratina ligustrina	"['Ageratina caecilia', 'Ageratina plethadenia', 'Ageratum glaucum', 'Eupatorium biceps', 'Eupatorium erythropappum', 'Eupatorium glabellum', 'Eupatorium ligustaefolium', 'Eupatorium ligustrinum', 'Eupatorium ligustrinum ligustrinum', 'Eupatorium ligustrinum typicum', 'Eupatorium ligustrinum weinmannianum', 'Eupatorium micranthum', 'Eupatorium myriadenium', 'Eupatorium odoratissimum', 'Eupatorium plethadenium', 'Eupatorium popocatapetlense', 'Eupatorium semialatum', 'Eupatorium weinmannianum']"	1887443|Ageratina ligustrina	7051504	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Ageratina	Ageratina ligustrina
Ageratum conyzoides|WP	asteraceae	Ageratum	ageratum conyzoides	WP	Ageratum conyzoides	"['Ageratum album', 'Ageratum arsenei', 'Ageratum brachystephanum', 'Ageratum ciliare', 'Ageratum coeruleum', 'Ageratum conyzoides album', 'Ageratum conyzoides conyzoides', 'Ageratum conyzoides hirtum', 'Ageratum conyzoides inaequipaleaceum', 'Ageratum conyzoides latifolium', 'Ageratum conyzoides obtusifolia', 'Ageratum conyzoides obtusifolium', 'Ageratum conyzoides pilosum', 'Ageratum cordifolium', 'Ageratum hirsutum', 'Ageratum hirtum', 'Ageratum humile', 'Ageratum latifolium', 'Ageratum latifolium galapageium', 'Ageratum latifolium latifolium', 'Ageratum muticum', 'Ageratum nanum', 'Ageratum obtusifolium', 'Ageratum odoratum', 'Ageratum sandwicense', 'Ageratum suffruticosum', 'Alomia coelestina', 'Alomia microcarpa torresii', 'Cacalia mentrasto', 'Caelestina suffruticosa', 'Carelia brachystephana', 'Carelia conyzoides', 'Carelia mutica', 'Coelestina latifolia', 'Coelestina microcarpa', 'Coelestina suffruticosa', 'Eupatorium conyzoides', 'Eupatorium conyzoides conyzoides', 'Eupatorium paleaceum', 'Phalacraea coelestina', 'Piqueria coelestina', 'Sparganophorus obtusifolius', 'Spilanthes alba']"	68299|Ageratum conyzoides	885278	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Ageratum	Ageratum conyzoides
Agrostis capillaris|WP	poaceae	Agrostis	agrostis capillaris	WP	Agrostis capillaris	"['Agrostis alba', 'Agrostis alba aristata', 'Agrostis alba minor', 'Agrostis alba pumila', 'Agrostis alba stricta', 'Agrostis alba sylvatica', 'Agrostis alba tenuis', 'Agrostis alba vulgaris', 'Agrostis atroviolacea', 'Agrostis canina glaucina', 'Agrostis capillaris alpigena', 'Agrostis capillaris aristata', 'Agrostis capillaris aristulata', 'Agrostis capillaris capillaris', 'Agrostis capillaris dubia', 'Agrostis capillaris glaucina', 'Agrostis capillaris oreophila', 'Agrostis capillaris pumila', 'Agrostis capillaris repens', 'Agrostis capillaris sambukii', 'Agrostis capillaris violacea', 'Agrostis ceretana', 'Agrostis claudii', 'Agrostis divaricata', 'Agrostis dubia', 'Agrostis ericetorum', 'Agrostis exilis', 'Agrostis glaucina', 'Agrostis helenae', 'Agrostis hispida', 'Agrostis laxa', 'Agrostis laxa pumila', 'Agrostis lithuanica', 'Agrostis maritima', 'Agrostis maritima publ', 'Agrostis marysae-tortiae', 'Agrostis navarroi', 'Agrostis palustris stricta', 'Agrostis polymorpha breviligulata', 'Agrostis polymorpha capillaris', 'Agrostis polymorpha pumila', 'Agrostis polymorpha stricta', 'Agrostis polymorpha sylvatica', 'Agrostis pumila', 'Agrostis pumila aristata', 'Agrostis retroflexa', 'Agrostis rubra glauca', 'Agrostis rubra mutica', 'Agrostis rubra pumila', 'Agrostis simulans', 'Agrostis stolonifera diffusa', 'Agrostis stolonifera hispida', 'Agrostis stolonifera minor', 'Agrostis stolonifera vulgaris', 'Agrostis stricta', 'Agrostis sylvatica', 'Agrostis tarda', 'Agrostis tenuis', 'Agrostis tenuis alpestris', 'Agrostis tenuis alpina', 'Agrostis tenuis aristata', 'Agrostis tenuis capillaris', 'Agrostis tenuis contracta', 'Agrostis tenuis hispida', 'Agrostis tenuis hornungiana', 'Agrostis tenuis humilis', 'Agrostis tenuis microstachys', 'Agrostis tenuis montana', 'Agrostis tenuis oreophila', 'Agrostis tenuis parviflora', 'Agrostis tenuis pumila', 'Agrostis tenuis repens', 'Agrostis tenuis scaberrima', 'Agrostis tenuis schurii', 'Agrostis tenuis setifrons', 'Agrostis tenuis tenuis', 'Agrostis tenuis umbrosa', 'Agrostis tenuis vulgaris', 'Agrostis trinervata', 'Agrostis vernalis', 'Agrostis versicolor', 'Agrostis violacea', 'Agrostis vulgaris', 'Agrostis vulgaris alpestris', 'Agrostis vulgaris alpigena', 'Agrostis vulgaris arenicola', 'Agrostis vulgaris aristata', 'Agrostis vulgaris canina', 'Agrostis vulgaris capillaris', 'Agrostis vulgaris collina', 'Agrostis vulgaris contracta', 'Agrostis vulgaris curvata', 'Agrostis vulgaris divaricata', 'Agrostis vulgaris elongata', 'Agrostis vulgaris ericetorum', 'Agrostis vulgaris glauca', 'Agrostis vulgaris glaucina', 'Agrostis vulgaris hispida', 'Agrostis vulgaris hornungiana', 'Agrostis vulgaris humilis', 'Agrostis vulgaris laxa', 'Agrostis vulgaris losae', 'Agrostis vulgaris minor', 'Agrostis vulgaris montana', 'Agrostis vulgaris mutica', 'Agrostis vulgaris pallescens', 'Agrostis vulgaris pallida', 'Agrostis vulgaris parviflora', 'Agrostis vulgaris plena', 'Agrostis vulgaris pumila', 'Agrostis vulgaris repens', 'Agrostis vulgaris rigida', 'Agrostis vulgaris rubra', 'Agrostis vulgaris saxatilis', 'Agrostis vulgaris umbracola', 'Agrostis vulgaris umbrosa', 'Agrostis vulgaris violacea', 'Agrostis vulgaris vivipara', 'Aira tenorei', 'Decandolia pumila', 'Decandolia vulgaris', 'Milium hispidum', 'Milium vulgare', 'Milium vulgare divaricatum', 'Trichodium capillaris', 'Trichodium glaucinum', 'Trichodium strictum', 'Vilfa alba conferta', 'Vilfa alba nuda', 'Vilfa alba sylvatica', 'Vilfa divaricata', 'Vilfa divaricata pumila', 'Vilfa hispida', 'Vilfa pumila', 'Vilfa sylvatica', 'Vilfa vulgaris']"	204232|Agrostis capillaris	550221	Archaeplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Agrostis	Agrostis capillaris
