ID	Family	Genus	Species	Part	Unnamed: 5	is_approximate_match	is_synonym	matched_name	nomenclature_code	score	search_string	taxon.flags	taxon.is_suppressed	taxon.is_suppressed_from_synth	taxon.name	taxon.ott_id	taxon.rank	taxon.source	taxon.synonyms	taxon.tax_sources	taxon.unique_name	_merge
Piper multiplinervium|WP	piperaceae	Piper	piper multiplinervium	WP		False	False	Piper multiplinervium	ICN	1.0	piper multiplinervium	[]	False	False	Piper multiplinervium	1081776.0	species	ott3.5draft1	['Piper aragonense', 'Piper perpuberulum']	['ncbi:130406', 'gbif:4191505']	Piper multiplinervium	both
Piptocarpha poeppigiana|WP	asteraceae	Piptocarpha	piptocarpha poeppigiana	WP		False	False	Piptocarpha poeppigiana	ICN	1.0	piptocarpha poeppigiana	[]	False	False	Piptocarpha poeppigiana	952846.0	species	ott3.5draft1	['Cacalia poeppigiana', 'Carphobolus poeppigiana', 'Carphobolus tereticaulis', 'Piptocarpha chontalensis', 'Piptocarpha costaricensis', 'Piptocarpha foliosa', 'Piptocarpha laxa', 'Piptocarpha paraensis', 'Piptocarpha tereticaulis', 'Vernonia poeppigiana', 'Vernonia tereticaulis']	['ncbi:1129490', 'gbif:5406592']	Piptocarpha poeppigiana	both
Piper caudatifolium|WP	piperaceae	Piper	piper caudatifolium	WP		False	False	Piper caudatifolium	ICN	1.0	piper caudatifolium	[]	False	False	Piper caudatifolium	6030446.0	species	ott3.5draft1	[]	['gbif:4185192']	Piper caudatifolium	both
Anthurium clavigerum|WP	araceae	Anthurium	anthurium clavigerum	WP		False	False	Anthurium clavigerum	ICN	1.0	anthurium clavigerum	[]	False	False	Anthurium clavigerum	3999978.0	species	ott3.5draft1	['Anthurium burchellianum', 'Anthurium clavigerum subpedatipartitum', 'Anthurium holtonianum', 'Anthurium holtonianum cohaerens', 'Anthurium kalbreyeri', 'Anthurium monsterioides', 'Anthurium monsteroides', 'Anthurium obovatum', 'Anthurium panduratum', 'Anthurium panduratum burchellianum', 'Anthurium repandum', 'Anthurium wendlandii']	['ncbi:871991', 'gbif:2872456', 'irmng:11085504']	Anthurium clavigerum	both
Hedyosmum bonplandianum|L	chloranthaceae	Hedyosmum	hedyosmum bonplandianum	L		False	False	Hedyosmum bonplandianum	ICN	1.0	hedyosmum bonplandianum	[]	False	False	Hedyosmum bonplandianum	807400.0	species	ott3.5draft1	['Hedyosmum calloso-serratum', 'Tafallaea bonplandiana', 'Tafallaea callososerrata']	['ncbi:88917', 'gbif:3750489']	Hedyosmum bonplandianum	both
Cavendishia callista|WP	ericaceae	Cavendishia	cavendishia callista	WP		False	False	Cavendishia callista	ICN	1.0	cavendishia callista	[]	False	False	Cavendishia callista	5759733.0	species	ott3.5draft1	['Cavendishia amalfiensis', 'Cavendishia bullata', 'Cavendishia duidae', 'Cavendishia gleasoniana', 'Cavendishia hispida', 'Cavendishia longiflora', 'Cavendishia phelpsiae', 'Cavendishia praestans', 'Cavendishia salicifolia']	['ncbi:1690169', 'gbif:5683386']	Cavendishia callista	both
Hippotis albiflora|L	rubiaceae	Hippotis	hippotis albiflora	L		False	False	Hippotis albiflora	ICN	1.0	hippotis albiflora	[]	False	False	Hippotis albiflora	3877682.0	species	ott3.5draft1	[]	['gbif:2901978']	Hippotis albiflora	both
Colubrina spinosa|WP	rhamnaceae	Colubrina	colubrinanosa	WP																		left_only
Besleria columneoides|WP	gesneriaceae	Besleria	besleria columneoides	WP		False	False	Besleria columneoides	ICN	1.0	besleria columneoides	[]	False	False	Besleria columneoides	1047833.0	species	ott3.5draft1	[]	['ncbi:1123543', 'gbif:3819056']	Besleria columneoides	both
Spathiphyllum laeve|WP	araceae	Spathiphyllum	spathiphyllum laeve	WP		False	False	Spathiphyllum laeve	ICN	1.0	spathiphyllum laeve	[]	False	False	Spathiphyllum laeve	3999401.0	species	ott3.5draft1	[]	['gbif:9725262', 'irmng:11191223']	Spathiphyllum laeve	both
