Family	Genus	Species	matched_name	taxon.name	taxon.ott_id	taxon.synonyms	NCBITaxonomy
piperaceae	Piper	piper multiplinervium	Piper multiplinervium	Piper multiplinervium	1081776.0	['Piper aragonense', 'Piper perpuberulum']	130406|Piper multiplinervium
asteraceae	Piptocarpha	piptocarpha poeppigiana	Piptocarpha poeppigiana	Piptocarpha poeppigiana	952846.0	['Cacalia poeppigiana', 'Carphobolus poeppigiana', 'Carphobolus tereticaulis', 'Piptocarpha chontalensis', 'Piptocarpha costaricensis', 'Piptocarpha foliosa', 'Piptocarpha laxa', 'Piptocarpha paraensis', 'Piptocarpha tereticaulis', 'Vernonia poeppigiana', 'Vernonia tereticaulis']	1129490|Piptocarpha poeppigiana
piperaceae	Piper	piper caudatifolium	Piper caudatifolium	Piper caudatifolium	6030446.0	[]	
araceae	Anthurium	anthurium clavigerum	Anthurium clavigerum	Anthurium clavigerum	3999978.0	['Anthurium burchellianum', 'Anthurium clavigerum subpedatipartitum', 'Anthurium holtonianum', 'Anthurium holtonianum cohaerens', 'Anthurium kalbreyeri', 'Anthurium monsterioides', 'Anthurium monsteroides', 'Anthurium obovatum', 'Anthurium panduratum', 'Anthurium panduratum burchellianum', 'Anthurium repandum', 'Anthurium wendlandii']	871991|Anthurium clavigerum
chloranthaceae	Hedyosmum	hedyosmum bonplandianum	Hedyosmum bonplandianum	Hedyosmum bonplandianum	807400.0	['Hedyosmum calloso-serratum', 'Tafallaea bonplandiana', 'Tafallaea callososerrata']	88917|Hedyosmum bonplandianum
ericaceae	Cavendishia	cavendishia callista	Cavendishia callista	Cavendishia callista	5759733.0	['Cavendishia amalfiensis', 'Cavendishia bullata', 'Cavendishia duidae', 'Cavendishia gleasoniana', 'Cavendishia hispida', 'Cavendishia longiflora', 'Cavendishia phelpsiae', 'Cavendishia praestans', 'Cavendishia salicifolia']	1690169|Cavendishia callista
rubiaceae	Hippotis	hippotis albiflora	Hippotis albiflora	Hippotis albiflora	3877682.0	[]	
rhamnaceae	Colubrina	colubrinanosa					
gesneriaceae	Besleria	besleria columneoides	Besleria columneoides	Besleria columneoides	1047833.0	[]	1123543|Besleria columneoides
araceae	Spathiphyllum	spathiphyllum laeve	Spathiphyllum laeve	Spathiphyllum laeve	3999401.0	[]	
araceae	Stenospermation	stenospermation angustifolium	Stenospermation angustifolium	Stenospermation angustifolium	3999278.0	['Stenospermation gracile']	1475442|Stenospermation angustifolium
rubiaceae	Faramea	faramea parvibractea	Faramea parvibractea	Faramea parvibractea	6070879.0	[]	
gesneriaceae	Columnea	columnea nicaraguensis	Columnea nicaraguensis	Columnea nicaraguensis	318274.0	[]	1125390|Columnea nicaraguensis
phytolaccaceae	Phytolacca	phytolacca rivinoides	Phytolacca rivinoides	Phytolacca rivinoides	3944670.0	['Phytolacca icosandra', 'Phytolacca macrostachya', 'Phytolacca polystyla']	1580009|Phytolacca rivinoides
monimiaceae	Siparuna	siparuna grandiflora	Siparuna grandiflora	Siparuna grandiflora	6028063.0	['Citrosma grandiflora', 'Citrosma kunthii', 'Siparuna auriculata', 'Siparuna hispida', 'Siparuna kunthii', 'Siparuna tonduziana']	
cyclanthaceae	Dicranopygium	dicranopygium umbrophilum	Dicranopygium umbrophilum	Dicranopygium umbrophilum	3968653.0	[]	
