	query_otol_family	Count
0	Fabaceae	33
1	Rubiaceae	24
2	Asteraceae	17
3	Poaceae	17
4	Moraceae	13
5	Euphorbiaceae	11
6	Solanaceae	11
7	Araceae	8
8	Melastomataceae	8
9	Piperaceae	7
10	Malvaceae	6
11	Cyperaceae	5
12	Apocynaceae	5
13	Lauraceae	4
14	Acanthaceae	4
15	Sapindaceae	4
16	Convolvulaceae	3
17	Myrtaceae	3
18	Arecaceae	3
19	Gesneriaceae	3
20	Bignoniaceae	3
21	Urticaceae	3
22	Bromeliaceae	2
23	Vitaceae	2
24	Celastraceae	2
25	Lamiaceae	2
26	Cucurbitaceae	2
27	Salicaceae	2
28	Verbenaceae	2
29	Sapotaceae	2
30	Annonaceae	2
31	Phyllanthaceae	2
32	Asparagaceae	2
33	Marantaceae	2
34	Ochnaceae	2
35	Cyclanthaceae	2
36	Campanulaceae	2
37	Primulaceae	2
38	Malpighiaceae	2
39	Pteridaceae	2
40	Meliaceae	1
41	Rhizophoraceae	1
42	Vochysiaceae	1
43	Polygonaceae	1
44	Lycopodiaceae	1
45	Santalaceae	1
46	Myristicaceae	1
47	Phytolaccaceae	1
48	Picramniaceae	1
49	Caricaceae	1
50	Amaranthaceae	1
51	Rosaceae	1
52	Simaroubaceae	1
53	Fagaceae	1
54	Ranunculaceae	1
55	Zingiberaceae	1
56	Violaceae	1
57	Burseraceae	1
58	Humiriaceae	1
59	Passifloraceae	1
60	Tetrameristaceae	1
61	Siparunaceae	1
62	Elaeocarpaceae	1
63	Smilacaceae	1
64	Hernandiaceae	1
65	Anacardiaceae	1
66	Dichapetalaceae	1
67	Capparaceae	1
68	Loganiaceae	1
69	Pentaphylacaceae	1
70	Heliotropiaceae	1
71	Clusiaceae	1
72	Aristolochiaceae	1
73	Brassicaceae	1
74	Araliaceae	1
75	Marattiaceae	1
76	Rutaceae	1
77	Apiaceae	1
78	Pontederiaceae	1
79	Ehretiaceae	1
80	Dilleniaceae	1
81	Commelinaceae	1
82	Ericaceae	1
83	Lecythidaceae	1
84	Cannabaceae	1
85	Amaryllidaceae	1
86	Costaceae	1
87	Rhamnaceae	1
88	Connaraceae	1
89	Clethraceae	1
90	Erythroxylaceae	1
91	Orobanchaceae	1
92	Sabiaceae	1
93	Metteniusaceae	1
94	Calophyllaceae	1
95	Begoniaceae	1
96	Blechnaceae	1
97	Bixaceae	1
98	Lythraceae	1
99	Combretaceae	1
100	Chrysobalanaceae	1
101	Onagraceae	1
102	Heliconiaceae	1
103	Erythropalaceae	1
104	Chloranthaceae	1
105	Calceolariaceae	1
106	Gunneraceae	1
107	Nyctaginaceae	1
108	Cunoniaceae	1
