	query_otol_genus	Count
0	Solanum	8
1	Piper	5
2	Scleria	3
3	Miconia	3
4	Ficus	3
5	Anthurium	2
6	Peperomia	2
7	Avicennia	2
8	Guettarda	2
9	Brosimum	2
10	Cissus	2
11	Clarisia	2
12	Mimosa	2
13	Goeppertia	2
14	Palicourea	2
15	Trophis	2
16	Cestrum	2
17	Randia	2
18	Psychotria	2
19	Ageratina	2
20	Ipomoea	2
21	Faramea	2
22	Bellucia	2
23	Oreopanax	1
24	Onoseris	1
25	Omphalea	1
26	Paullinia	1
27	Olyra	1
28	Acacia	1
29	Pelliciera	1
30	Pentagonia	1
31	Persea	1
32	Ocotea	1
33	Phenax	1
34	Philodendron	1
35	Phlegmariurus	1
36	Phyllanthus	1
37	Phytolacca	1
38	Picramnia	1
39	Piofontia	1
40	Piptocarpha	1
41	Pithecellobium	1
42	Platymiscium	1
43	Pleuropetalum	1
44	Persicaria	1
45	Morinda	1
46	Neonicholsonia	1
47	Machaerium	1
48	Lantana	1
49	Lawsonia	1
50	Legousia	1
51	Lepechinia	1
52	Licaria	1
53	Lippia	1
54	Lomariocycas	1
55	Lonchocarpus	1
56	Lophanthera	1
57	Lupinus	1
58	Lycianthes	1
59	Mabea	1
60	Maclura	1
61	Nasturtium	1
62	Macrolobium	1
63	Maianthemum	1
64	Malvaviscus	1
65	Marila	1
66	Maytenus	1
67	Megathyrsus	1
68	Meliosma	1
69	Mesosphaerum	1
70	Mikania	1
71	Monticalia	1
72	Posoqueria	1
73	Myrciaria	1
74	Plumeria	1
75	Puya	1
76	Prosopis	1
77	Tournefortia	1
78	Spermacoce	1
79	Spondias	1
80	Stenospermation	1
81	Stephanopodium	1
82	Steriphoma	1
83	Strychnos	1
84	Stylogyne	1
85	Syngonium	1
86	Syzygium	1
87	Talipariti	1
88	Talisia	1
89	Telanthophora	1
90	Ternstroemia	1
91	Tovomita	1
92	Pseudobombax	1
93	Trattinnickia	1
94	Trichilia	1
95	Turnera	1
96	Urera	1
97	Urochloa	1
98	Vasconcellea	1
99	Verbesina	1
100	Virola	1
101	Vochysia	1
102	Weinmannia	1
103	Werauhia	1
104	Xylopia	1
105	Zoysia	1
106	Spathiphyllum	1
107	Sparattanthelium	1
108	Sorocea	1
109	Smilax	1
110	Pseudognaphalium	1
111	Pseudolmedia	1
112	Psiguria	1
113	Laestadia	1
114	Quassia	1
115	Quercus	1
116	Quiina	1
117	Ranunculus	1
118	Rauvolfia	1
119	Renealmia	1
120	Rhizophora	1
121	Rhynchospora	1
122	Rinorea	1
123	Roldana	1
124	Rottboellia	1
125	Ruellia	1
126	Saccharum	1
127	Sacoglottis	1
128	Samanea	1
129	Sansevieria	1
130	Sapium	1
131	Sapranthus	1
132	Sarcaulus	1
133	Schizolobium	1
134	Senna	1
135	Siparuna	1
136	Sloanea	1
137	Laguncularia	1
138	Ichnanthus	1
139	Joosia	1
140	Cespedesia	1
141	Calea	1
142	Calycophyllum	1
143	Camonea	1
144	Canavalia	1
145	Carludovica	1
146	Cassia	1
147	Castilleja	1
148	Catharanthus	1
149	Cavendishia	1
150	Cecropia	1
151	Celtis	1
152	Centropogon	1
153	Centrosema	1
154	Chaetolepis	1
155	Jatropha	1
156	Chionolaena	1
157	Chomelia	1
158	Chrysophyllum	1
159	Chusquea	1
160	Cinnamomum	1
161	Clethra	1
162	Clidemia	1
163	Cnestidium	1
164	Cnidoscolus	1
165	Cojoba	1
166	Colubrina	1
167	Columnea	1
168	Conostegia	1
169	Calceolaria	1
170	Calatola	1
171	Caesalpinia	1
172	Bunchosia	1
173	Acrocomia	1
174	Acrostichum	1
175	Adelia	1
176	Aeschynomene	1
177	Ageratum	1
178	Agrostis	1
179	Albizia	1
180	Alchemilla	1
181	Alchornea	1
182	Alibertia	1
183	Alseis	1
184	Amphitecna	1
185	Apeiba	1
186	Archibaccharis	1
187	Ardisia	1
188	Aristolochia	1
189	Arthraxon	1
190	Arundinella	1
191	Aspidosperma	1
192	Bactris	1
193	Batocarpus	1
194	Begonia	1
195	Bertiera	1
196	Besleria	1
197	Billia	1
198	Bixa	1
199	Bravaisia	1
200	Costus	1
201	Crescentia	1
202	Crinum	1
203	Euphorbia	1
204	Genipa	1
205	Geophila	1
206	Gliricidia	1
207	Guapira	1
208	Guilandina	1
209	Gunnera	1
210	Gurania	1
211	Hamelia	1
212	Hampea	1
213	Handroanthus	1
214	Hedyosmum	1
215	Heisteria	1
216	Heliconia	1
217	Herrania	1
218	Hildaea	1
219	Hippotis	1
220	Hirtella	1
221	Holcus	1
222	Homalium	1
223	Hura	1
224	Hymenachne	1
225	Hymenaea	1
226	Hyparrhenia	1
227	Acalypha	1
228	Indigofera	1
229	Inga	1
230	Jamesonia	1
231	Fuchsia	1
232	Eugenia	1
233	Croton	1
234	Eschweilera	1
235	Cryptostegia	1
236	Cuervea	1
237	Cupania	1
238	Cymbopogon	1
239	Cynometra	1
240	Cyperus	1
241	Dahlia	1
242	Dalbergia	1
243	Danaea	1
244	Delonix	1
245	Desmodium	1
246	Dialium	1
247	Dichorisandra	1
248	Dicranopygium	1
249	Dieffenbachia	1
250	Doliocarpus	1
251	Dracontium	1
252	Drymonia	1
253	Echinochloa	1
254	Ehretia	1
255	Eichhornia	1
256	Entada	1
257	Enterolobium	1
258	Eryngium	1
259	Erythrina	1
260	Erythrochiton	1
261	Erythroxylum	1
262	Zuelania	1
