	query_otol_species	Count
0	Acacia hayesii	1
1	Phyllanthus acuminatus	1
2	Phoradendron	1
3	Phlegmariurus hippurideus	1
4	Philodendron aurantiifolium	1
5	Phenax angustifolius	1
6	Persicaria pubescens	1
7	Persea schiedeana	1
8	Peperomia hernandiifolia	1
9	Peperomia galioides	1
10	Pentagonia tinajita	1
11	Pelliciera rhizophorae	1
12	Paullinia pinnata	1
13	Palicourea guianensis	1
14	Palicourea eurycarpa	1
15	Oreopanax capitatus	1
16	Onoseris onoseroides	1
17	Phyllanthus (genus in kingdom Archaeplastida)	1
18	Phytolacca rivinoides	1
19	Olyra latifolia	1
20	Picramnia latifolia	1
21	Pseudognaphalium roseum	1
22	Pseudobombax septenatum	1
23	Prosopis juliflora	1
24	Posoqueria latifolia	1
25	Plumeria rubra	1
26	Pleuropetalum pleiogynum	1
27	Platymiscium curuense	1
28	Pithecellobium johansenii	1
29	Piptocarpha poeppigiana	1
30	Piper tuberculatum	1
31	Piper reticulatum	1
32	Piper multiplinervium	1
33	Piper garagaranum	1
34	Piper caudatifolium	1
35	Piofontia costaricensis	1
36	Omphalea diandra	1
37	Ocotea atirrensis	1
38	Acalypha aristata	1
39	Macrolobium costaricense	1
40	Machaerium biovulatum	1
41	Mabea occidentalis	1
42	Lycianthes multinervium	1
43	Lupinus costaricensis	1
44	Lophanthera hammelii	1
45	Lonchocarpus heptaphyllus	1
46	Lomariocycas aurata	1
47	Lippia cardiostegia	1
48	Licaria misantlae	1
49	Lepechinia schiedeana	1
50	Legousia pentagonia	1
51	Lawsonia inermis	1
52	Lantana camara	1
53	Laguncularia racemosa	1
54	Laestadia costaricensis	1
55	Maclura tinctoria	1
56	Maianthemum paludicola	1
57	Neonicholsonia watsonii	1
58	Malvaviscus concinnus	1
59	Nasturtium officinale	1
60	Myrciaria floribunda	1
61	Morinda citrifolia (species in kingdom Archaeplastida)	1
62	Monticalia andicola	1
63	Mimosa pudica	1
64	Mimosa debilis	1
65	Mikania micrantha	1
66	Miconia trinervia	1
67	Miconia ligulata	1
68	Miconia argentea	1
69	Mesosphaerum suaveolens	1
70	Meliosma allenii	1
71	Megathyrsus maximus	1
72	Maytenus woodsonii	1
73	Marila laxiflora	1
74	Pseudolmedia glabrata	1
75	Psiguria warscewiczii	1
76	Psychotria hoffmannseggiana	1
77	Ternstroemia multiovulata	1
78	Talisia macrophylla	1
79	Talipariti tiliaceum	1
80	Syzygium malaccense	1
81	Syngonium podophyllum	1
82	Stylogyne laevis	1
83	Strychnos nigricans	1
84	Steriphoma paradoxum	1
85	Stephanopodium costaricense	1
86	Stenospermation angustifolium	1
87	Spondias radlkoferi	1
88	Spermacoce assurgens	1
89	Spathiphyllum laeve	1
90	Sparattanthelium amazonum	1
91	Sorocea pubivena	1
92	Solanum valerianum	1
93	Telanthophora grandifolia	1
94	Tournefortia hirsutissima	1
95	Psychotria microdon	1
96	Tovomita longifolia	1
97	Zoysia matrella	1
98	Xylopia frutescens	1
99	Werauhia ororiensis	1
100	Weinmannia fagaroides	1
101	Vochysia megalophylla	1
102	Virola multiflora	1
103	Verbesina myriocephala	1
104	Vasconcellea cauliflora	1
105	Urochloa decumbens	1
106	Urera simplex	1
107	Turnera angustifolia	1
108	Trophis racemosa	1
109	Trophis caucana	1
110	Trichilia pallida	1
111	Trattinnickia aspera	1
112	Solanum storkii	1
113	Solanum schlechtendalianum	1
114	Solanum rudepannum	1
115	Solanum roblense	1
116	Ruellia macrantha	1
117	Rottboellia cochinchinensis	1
118	Roldana scandens	1
119	Rinorea squamata	1
120	Rhynchospora polyphylla	1
121	Rhizophora mangle	1
122	Renealmia pluriplicata	1
123	Rauvolfia littoralis	1
124	Ranunculus peruvianus	1
125	Randia armata	1
126	Randia altiscandens	1
127	Quiina macrophylla	1
128	Quercus seemannii	1
129	Quassia amara	1
130	Puya dasylirioides	1
131	Saccharum officinarum	1
132	Sacoglottis trichogyna	1
133	Samanea saman	1
134	Senna cobanensis	1
135	Solanum circinatum	1
136	Solanum adhaerens	1
137	Solanum acerifolium	1
138	Smilax officinalis	1
139	Sloanea terniflora	1
140	Siparuna grandiflora	1
141	Scleria microcarpa	1
142	Sansevieria trifasciata	1
143	Scleria gaertneri	1
144	Scleria eggersiana	1
145	Schizolobium parahyba	1
146	Sarcaulus brasiliensis	1
147	Sapranthus viridiflorus	1
