ID	Family	Genus	Species	Part	matched_name	taxon.synonyms	NCBITaxonomy	ott_id	query_otol_kingdom	query_otol_phylum	query_otol_class	query_otol_order	query_otol_family	query_otol_genus	query_otol_species	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family
Bravaisia integerrima|L	acanthaceae	Bravaisia	bravaisia integerrima	L	Bravaisia integerrima	['Amasonia integerrima', 'Androcentrum multiflorum', 'Barleria anomala', 'Bravaisia floribunda', 'Onychacanthus arboreus', 'Onychacanthus cumingii', 'Onychacanthus speciosus', 'Ruellia arborescens']	440885|Bravaisia integerrima	654225	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Bravaisia	Bravaisia integerrima	0	0	3188
Ruellia macrantha|AE	acanthaceae	Ruellia	ruellia macrantha	AE	Ruellia macrantha	['Dipteracanthus macranthus', 'Dipteracanthus speciosus', 'Ruellia magnifica', 'Ruellia speciosa']	440987|Ruellia macrantha	680286	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Ruellia	Ruellia macrantha	0	0	1761
Pleuropetalum pleiogynum|WP	amaranthaceae	Pleuropetalum	pleuropetalum pleiogynum	WP	Pleuropetalum pleiogynum	['Celosia pleiogyna', 'Pleuropetalum standleyi']		6033754	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Pleuropetalum	Pleuropetalum pleiogynum	10	448	5754
Crinum erubescens|L	amaryllidaceae	Crinum	crinum erubescens	L	Crinum erubescens	['Amaryllis procera', 'Crinum attenuatum', 'Crinum commelinianum', 'Crinum commelyni', 'Crinum corantinum', 'Crinum corantynum', 'Crinum crucibulum', 'Crinum cruentum', 'Crinum cruentum albidum', 'Crinum dieterichii', 'Crinum erubescens berbicense', 'Crinum erubescens braziliense', 'Crinum erubescens caraccense', 'Crinum erubescens corantinum', 'Crinum erubescens majus', 'Crinum erubescens mexicanum', 'Crinum erubescens minus', 'Crinum erubescens octoflorum', 'Crinum erubescens rubrilimbum', 'Crinum erubescens viridifolium', 'Crinum gordonianum', 'Crinum guianense', 'Crinum inodorum', 'Crinum kunthianum', 'Crinum kunthianum nicaraguense', 'Crinum lanceanum', 'Crinum lancei', 'Crinum lindleyanum', 'Crinum loddigesianum', 'Crinum octoflorum', 'Crinum odoratissimum', 'Crinum revolutum', 'Crinum rubrilimbum', 'Crinum viridifolium']	209093|Crinum erubescens	118208	Archaeplastida	Streptophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Crinum	Crinum erubescens	0	0	186
Spondias radlkoferi|AE	anacardiaceae	Spondias	spondias radlkoferi	AE	Spondias radlkoferi	['Spondias nigrescens']	341681|Spondias radlkoferi	781279	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Anacardiaceae	Spondias	Spondias radlkoferi	0	0	50
Sapranthus viridiflorus|AE	annonaceae	Sapranthus	sapranthus viridiflorus	AE	Sapranthus viridiflorus	[]	235835|Sapranthus viridiflorus	778413	Archaeplastida	Streptophyta	Magnoliopsida	Magnoliales	Annonaceae	Sapranthus	Sapranthus viridiflorus	0	371	970
Xylopia frutescens|AE	annonaceae	Xylopia	xylopia frutescens	AE	Xylopia frutescens	['Diospyros xylopioides', 'Xylopia meridensis', 'Xylopia polyantha nicaraguensis', 'Xylopia setosa', 'Xylopicrum frutescens']	306916|Xylopia frutescens	76994	Archaeplastida	Streptophyta	Magnoliopsida	Magnoliales	Annonaceae	Xylopia	Xylopia frutescens	0	22	45
Eryngium humile|WP	apiaceae	Eryngium	eryngium humile	WP	Eryngium humile	['Eryngium costaricense', 'Eryngium humile brevibracteatum', 'Eryngium humile caulescens', 'Eryngium humile gigantophyllum', 'Eryngium humile latipes', 'Eryngium humile multiradiatum', 'Eryngium humile pulchellum', 'Eryngium humile radiciflorum', 'Eryngium humile stellatum', 'Eryngium humile subacaule', 'Eryngium jahnii', 'Eryngium moritzii', 'Eryngium pulchellum', 'Eryngium radiciflorum', 'Eryngium ranunculoides', 'Eryngium stellatum']	477874|Eryngium humile	2747	Archaeplastida	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	Eryngium humile	6	162	54888
Aspidosperma myristicifolium|L	apocynaceae	Aspidosperma	aspidosperma myristicifolium	L	Aspidosperma myristicifolium	['Aspidosperma elatum', 'Geissospermum myristicifolium']	141534|Aspidosperma myristicifolium	619037	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Aspidosperma	Aspidosperma myristicifolium	0	61	643
Catharanthus roseus|WP	apocynaceae	Catharanthus	catharanthus roseus	WP	Catharanthus roseus	['Ammocallis rosea', 'Lochnera rosea', 'Lochnera rosea flava', 'Pervinca rosea', 'Vinca gulielmi-waldemarii', 'Vinca rosea', 'Vinca rosea albiflora', 'Vinca speciosa']	4058|Catharanthus roseus	524094	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus	Catharanthus roseus	0	0	317
Plumeria rubra|AE	apocynaceae	Plumeria	plumeria rubra	AE	Plumeria rubra	['Plumeria acuminata', 'Plumeria acutifolia', 'Plumeria acutifolia gasparrinii', 'Plumeria angustifolia', 'Plumeria arborea', 'Plumeria arborescens', 'Plumeria aurantia', 'Plumeria aurantiaca', 'Plumeria bicolor', 'Plumeria blandfordiana', 'Plumeria carinata', 'Plumeria conspicua', 'Plumeria gouanii', 'Plumeria incarnata', 'Plumeria incarnata milleri', 'Plumeria jamesonii', 'Plumeria kerrii', 'Plumeria kunthiana', 'Plumeria lambertiana', 'Plumeria loranthifolia', 'Plumeria lutea', 'Plumeria macrophylla', 'Plumeria megaphylla', 'Plumeria mexicana', 'Plumeria milleri', 'Plumeria mollis', 'Plumeria northiana', 'Plumeria purpurea', 'Plumeria rubra acuminata', 'Plumeria rubra acutifolia', 'Plumeria rubra lutea', 'Plumeria rubra tricolor', 'Plumeria tenorii', 'Plumeria tenuifolia', 'Plumeria tricolor']	62097|Plumeria rubra	590760	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Plumeria	Plumeria rubra	5	7	3188
Rauvolfia littoralis|L	apocynaceae	Rauvolfia	rauvolfia littoralis	L	Rauvolfia littoralis	['Rauvolfia indosinensis', 'Rauvolfia macrocarpa', 'Rauvolfia multiflora']	681485|Rauvolfia littoralis	651357	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Rauvolfia	Rauvolfia littoralis	2	13	269
Anthurium clavigerum|WP	araceae	Anthurium	anthurium clavigerum	WP	Anthurium clavigerum	['Anthurium burchellianum', 'Anthurium clavigerum subpedatipartitum', 'Anthurium holtonianum', 'Anthurium holtonianum cohaerens', 'Anthurium kalbreyeri', 'Anthurium monsterioides', 'Anthurium monsteroides', 'Anthurium obovatum', 'Anthurium panduratum', 'Anthurium panduratum burchellianum', 'Anthurium repandum', 'Anthurium wendlandii']	871991|Anthurium clavigerum	3999978	Archaeplastida	Streptophyta	Magnoliopsida	Alismatales	Araceae	Anthurium	Anthurium clavigerum	0	0	1770
Anthurium spectabile|WP	araceae	Anthurium	anthuriumctabile	WP	Anthurium nobile	['Anthurium glaziovii', 'Anthurium nobile', 'Pothos solitarius']		3999601	Archaeplastida	Streptophyta	Magnoliopsida	Alismatales	Araceae	Anthurium	Anthurium solitarium	17	17	54888
Dieffenbachia oerstedii|WP	araceae	Dieffenbachia	dieffenbachia oerstedii	WP	Dieffenbachia oerstedii	[]	418808|Dieffenbachia oerstedii	897966	Archaeplastida	Streptophyta	Magnoliopsida	Alismatales	Araceae	Dieffenbachia	Dieffenbachia oerstedii	0	56	105
Dracontium soconuscum|WP	araceae	Dracontium	dracontium soconuscum	WP	Dracontium soconuscum	['Dracontium dressleri']		3999167	Archaeplastida	Streptophyta	Magnoliopsida	Alismatales	Araceae	Dracontium	Dracontium soconuscum	25	26	281
